sample_id,instruction_truncated,winner
1,What are some good browser alternatives to Chrome?,Model B
2,"Hi, my sister and her girlfriends want me to play kickball with them. Can you ex...",Tie
3,"Hi, I have some falafel, but no tahini to put on them. Can you give me a recipe ...",Tie
4,Can you tell me how to make chocolate chip cookies?,Model B
5,How can I make bubble solution?,Tie
6,How is oil turned into gasoline?,Model B
7,How do I wrap a present neatly?,Tie
8,What is some cool music from the 1920s?,Tie
9,"Hi, I'd like to play ice hockey. Can you explain how the game works?",Model B
10,Is the US border open to Canada?,Model B
11,What are the names of some famous actors that started their careers on Broadway?,Tie
12,"Hi, I've decided to keep a rat as a pet. How do I house, feed, and otherwise car...",Tie
13,"I have my grandfather's antique fountain pen and a bottle of ink, but have never...",Model B
14,What breed dog is smallest?,Model A
15,What is kevlar made out of?,Tie
